1,Какой скоростной режим необходимо соблюдать на территории СТЦ и прилегающих территориях?,не более 5 км/ч,не более 10 км/ч,не более 15 км/ч,скорость движения на территории СТЦ и прилегающих территориях не регламентирована ,не более 5 км/ч
5,Что обязан делать водитель при погрузке на складе?,присутствовать при погрузке,контролировать правильность размещения товара в машине,контролировать соответствие загружаемого товара накладной,все варианты верны,все варианты верны
8,Водитель может осуществлять ремонт ТС на территории СТЦ:,по согласованию с начальником склада,по согласованию с управляющим СТЦ,ремонт на территории СТЦ категорически запрещён,,ремонт на территории СТЦ категорически запрещён
9,Может ли водитель производить уборку кузова во время погрузки на складе,"да, если не мешает специалистам склада и другим ТС ","нет, уборка проводится до въезда на склад","да, после согласования с начальником склада",,"нет, уборка проводится до въезда на склад"
11,Где ношение сигнального жилета с логотипом ООО «СТД «Петрович» является обязательным?,только в отделе логистики СТЦ,"на всей территории СТЦ (включая внутренние помещения и парковку), а также на адресе клиента при осуществлении доставки","в отделе логистики СТЦ, а также на адресе клиента при осуществлении доставки","в отделе логистики СТЦ, а также на складе для соблюдения техники безопасности","на всей территории СТЦ (включая внутренние помещения и парковку), а также на адресе клиента при осуществлении доставки"
14,Может ли водитель оставлять ТС на территории СТЦ в свои выходные и отпуск?,нет,"да, по согласованию с логистом СТЦ","да, по согласованию с начальником склада",,нет
15,"При оставлении на складе машины вне поля зрения, водитель обязан:",оставить ключи в замке зажигания,оставить записку со своим номером телефона,вытащить ключи из замка зажигания,поставить в известность начальника склада,вытащить ключи из замка зажигания
17,"Действия водителя при переезде между складами, в случае опоздания в интервал доставки или превышения нормативов времени погрузки:","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, незначительно превышать скоростной режим","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, без превышения скоростного режима","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; допускается незначительно превышать скоростной режим","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается"
24,В каком случае ношение бейджа водителем является обязательным?,при нахождении в служебных помещениях СТЦ,только при погрузке на складе,при прибытии на объект к клиенту,все варианты верны,при нахождении в служебных помещениях СТЦ
37,"В какое время необходимо прибыть на адрес при доставке ""точно ко времени""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до времени доставки,,не позднее 5 минут до времени доставки
38,Каков норматив времени по загрузке на складе?,60 минут,40 минут,20 минут,время загрузки не регламентируется,40 минут
39,"Водитель приехал на СТЦ, встал в очередь, получил СМС о готовности рейса. Сколько у водителя времени от момента поступления СМС и до въезда на погрузку?",не более 20 минут,не более 30 минут,время никак не фиксируется,не более 40 минут,не более 30 минут
43,"Нужно ли звонить перед погрузкой в случае, если в комментариях к заказу написано «не звонить перед погрузкой»?","да, нужно, вдруг у клиента что-нибудь изменилось?","нет, не нужно",на усмотрение водителя,"нужно, если в рейсе одна доставка","нет, не нужно"
76,"Для уточнения адреса, указанного GPS – координатами, водителю следует:",сразу позвонить клиенту для уточнения адреса,"максимально использовать навигатор, GPS-координаты, карту города/области, Яндекс-карту","позвонить в колл-центр по телефону, указанному в товарном чеке","позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","максимально использовать навигатор, GPS-координаты, карту города/области, Яндекс-карту"
78,"В заказе есть комментарий: «ПАСПОРТА+СЕРТИФИКАТЫ», действия водителя:","не предпринимать никаких действий, это комментарий менеджеров, к доставке отношения не имеет","подойти к ответственному специалисту отдела логистики, распечатать сертификаты проставить на каждом листе штамп оператора СТЦ, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе","подойти к ответственному специалисту отдела логистики, распечатать сертификаты, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе"
81,"Действия водителя, если в маршрутном листе, в комментарии к адресу указано: «Распечатать закрывающие документы по РТИУ №…»",обратиться к кассиру СТЦ,обратиться к оператору СТЦ,обратиться к логисту СТЦ,"не обращать внимание, это комментарий для менеджера",обратиться к оператору СТЦ
89,Водитель обязан соблюдать следующие правила поведения в процессе оказания услуги «Доставка»:,говорить только на русском языке и не использовать нецензурную лексику,не использовать жевательную резинку во время общения,"соблюдать Правила внешнего вида, носить униформу и в помещениях СТЦ носить бейдж",все варианты верны,все варианты верны
--,--,--,--,--,--,--
