2,Как необходимо закреплять груз в кузове а/м?,"так, чтобы исключить его утерю","так, чтобы исключить его повреждение и потерю товарного вида","так, чтобы исключить риск возникновения несчастного случая в следствии падения груза ",все варианты верны,все варианты верны
3,Какие спецсредства должны быть в наличии для обеспечения сохранности перевозимого груза?,тент,ремни крепления грузов,уголки для крепления грузов (для СТЦ ЦФО),все варианты верны,все варианты верны
4,При загрузке каких ТМЦ в заводских упаковках водитель должен произвести осмотр коробок на отсутствие повреждений?,двери,"унитазы, раковины",душевые кабины,все варианты верны,все варианты верны
5,Что обязан делать водитель при погрузке на складе?,присутствовать при погрузке,контролировать правильность размещения товара в машине,контролировать соответствие загружаемого товара накладной,все варианты верны,все варианты верны
6,Для соблюдения техники безопасности на складе водитель обязан:,закреплять груз при передвижении между складами,закрывать борта ТС при передвижении между складами,"использовать стояночный тормоз, ставить противооткатный упор",все варианты верны,все варианты верны
12,В каком случае не требуется крепление ТМЦ в кузове:,если груз не превышает высоту борта или груз в заводской упаковке (за исключением паллет газобетона) без расположенного товара сверху,если в поле видимости отсутствуют люди и транспорт,в случае если необходимо переехать на соседний склад,все варианты верны,если груз не превышает высоту борта или груз в заводской упаковке (за исключением паллет газобетона) без расположенного товара сверху
13,"Кто отвечает за сохранность, качество и количество перевозимого груза?",специалисты склада,специалисты отдела логистики СТЦ,водитель,все варианты верны,водитель
17,"Действия водителя при переезде между складами, в случае опоздания в интервал доставки или превышения нормативов времени погрузки:","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, незначительно превышать скоростной режим","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, без превышения скоростного режима","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; допускается незначительно превышать скоростной режим","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается"
59,За чей счёт осуществляется компенсация повторной доставки в случае недовоза водителем товара на объект?,за счёт специалистов склада,за счёт водителя,за счёт отдела логистики СТЦ,за счёт клиента,за счёт водителя
60,"При недовозе товара, или пересорте между адресами, водитель должен:",самостоятельно решить с клиентом вопрос,"предложить клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","оперативно передать информацию логисту СТЦ, и следовать его указаниям",ни один пункт не подходит,"оперативно передать информацию логисту СТЦ, и следовать его указаниям"
62,Что обязан контролировать водитель при возврате товара?,"товарный вид (не битое, не мокрое, не грязное)",срок годности,количество возвращаемого товара,все варианты верны,все варианты верны
67,"Действия водителя в случае обнаружения на адресе недостачи, пересорта при порче товара","водитель обещает клиенту, что заменит товар самостоятельно, сообщать кому-либо необходимости нет","водитель предлагает клиенту позвонить в колл-центр по телефону, указанному в товарном чеке","водитель предлагает клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке",верных вариантов нет,верных вариантов нет
68,Каковы действия водителя в случае возникновения простоя на адресе?,позвонить логисту СТЦ и сообщить о начале времени простоя,позвонить логисту ЦУД и сообщить о начале времени простоя,"не звонить, ждать пока разгрузят, по возвращении с рейса сообщить в отдел логистики СТЦ","уехать с адреса, сообщив клиенту, что ждать мы не можем",позвонить логисту СТЦ и сообщить о начале времени простоя
88,"Свыше какой суммы в товарном чеке с проектом «оплата на месте» водитель должен обратиться к сотруднику Службы Экономической Безопасности, если контрагент «Покупатель с сайта, покупатель (СТЦ)»:",более 250 000 (двести пятьдесят тысяч рублей) для покупателя держателя карты клуба друзей ,более 100 000 (сто тысяч рублей) для покупателя без карты клуба друзей ,оба варианта верны,,оба варианта верны
91,"Водитель, процессе оказания услуги «Доставка», несёт ответственность:","за недостачу ТМЦ в рейсе, если водитель не заехал на склад","за пересортицу/недостачу, возникшую при разгрузке между адресами","за порчу товара при транспортировке (товар не закреплен, погрузка не совместимых товаров, отсутствие тента, не качественное укрытие ТМЦ от осадков и др.) ",все варианты верны,все варианты верны
92,"На складе, при проверке ТМЦ по качеству, водитель:","должен произвести внешний осмотр упаковки на отсутствие повреждений, если ТМЦ в заводских упаковках","проверяет внешнее состояние упаковки, если ТМЦ предварительно собрано в паллеты, коробки, пакеты","осуществляет контроль качества, способом внешнего осмотра ТМЦ, без его перекладки и переборки",все варианты верны,все варианты верны
93,"На складе, при проверке водителем ТМЦ по номенклатуре:","если ТМЦ собрано предварительно в пакеты, коробки, паллеты, водитель не проверяет соответствие номенклатуры по накладной","если сборка ТМЦ происходит по факту обращения водителя на склад и товар не находится в сборной упаковке (паллете, коробке, пакете), водитель обязан проверить соответствие каждой номенклатурной позиции по накладной",оба варианта верны,,оба варианта верны
94,"Действия водителя, если клиент хочет отдать на возврат товар с предыдущей доставки, а информации по возврату в документах нет:",отказаться принимать товар у клиента,позвонить логисту СТЦ и согласовать возврат товара,забрать товар на возврат без звонка на СТЦ,позвонить оператору СТЦ и согласовать возврат товара,позвонить оператору СТЦ и согласовать возврат товара
--,--,--,--,--,--,--
