40,В течение какого времени от момента поступления СМС о рейсе водитель должен распечатать маршрутный лист?,в течение 20 минут,в течение 30 минут,в течение 10 минут,время распечатки не регламентируется,в течение 10 минут
53,Кому необходимо позвонить при отсутствии доверенности или печати на адресе?,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","позвонить в колл-центр по телефону, указанному в товарном чеке",позвонить оператору СТЦ,все варианты верны,позвонить оператору СТЦ
55,На каких документах необходимо взять подпись клиента при доставке арендованного оборудования,акт приёма-передачи,договор-квитанция,товарный чек,все варианты верны,все варианты верны
57,Когда сдаётся комплект документов ответственному лицу при доставке или возврате арендованного оборудования?,не позднее 15 часов следующего дня,обязательно в день выдачи Арендованного Оборудования,в течение трёх рабочих дней после выдачи Арендованного Оборудования,не позднее 18.00 дня выдачи Арендованного Оборудования,не позднее 15 часов следующего дня
63,"В товарном чеке стоит проект «оплата на месте банковской картой». По прибытии на адрес клиент утверждает, что оплатил через телефон. Действия водителя:",отгрузить товар клиенту и отдать полный комплект документов (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),информацию по изменению способа оплаты передать логисту ЦУД и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),информацию по изменению способа оплаты передать логисту СТЦ и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),,информацию по изменению способа оплаты передать логисту СТЦ и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу)
64,Что должен сделать водитель при наличии доп. накладных к заказу?,"ознакомится с контактными данными лиц по каждой накладной (по одному адресу может быть несколько принимающих лиц, звонить необходимо каждому)","ознакомится с контактными данными лиц только по основному заказу (вне зависимости от количества принимающих лиц, заказчик один, звонить только ему)",,,"ознакомится с контактными данными лиц по каждой накладной (по одному адресу может быть несколько принимающих лиц, звонить необходимо каждому)"
65,"Водитель, при доставке ТМЦ, должен взять у клиента подпись на документах:","договор-заявка на доставку, акте выполненных работ, ТТН, товарном чеке","ТТН, товарном чеке, УПД",достаточно только в ТТН,достаточно только в товарном чеке,"ТТН, товарном чеке, УПД"
72,"Клиент на адресе предоставил доверенность, какие данные необходимо проверить:","печать, паспортные данные принимающего, дату выдачи и дату окончания доверенности, наименование организации","печать, дату выдачи и дату окончания доверенности, наименование организации",проверять доверенность не нужно,,"печать, паспортные данные принимающего, дату выдачи и дату окончания доверенности, наименование организации"
74,Что должен сделать водитель для передачи клиенту рекламных листовок Петрович-Медиа?,самостоятельно взять их и прикрепить к каждому товарному чеку,уточнить у клиента нужно ли ему привозить листовки,ознакомиться с содержанием листовок и передать информацию клиенту устно,рекламные листовки водитель берет или не берет на своё усмотрение,самостоятельно взять их и прикрепить к каждому товарному чеку
78,"В заказе есть комментарий: «ПАСПОРТА+СЕРТИФИКАТЫ», действия водителя:","не предпринимать никаких действий, это комментарий менеджеров, к доставке отношения не имеет","подойти к ответственному специалисту отдела логистики, распечатать сертификаты проставить на каждом листе штамп оператора СТЦ, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе","подойти к ответственному специалисту отдела логистики, распечатать сертификаты, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе"
79,"В комментарии к заказу есть информация: «обмен по обращению №…» или «довоз по обращению №…», действия водителя:",уточнить информацию у оператора СТЦ,"не обращать внимание, идти на погрузку",позвонить логисту ЦУД и уточнить информацию,позвонить и уточнить информацию у клиента,позвонить логисту ЦУД и уточнить информацию
81,"Действия водителя, если в маршрутном листе, в комментарии к адресу указано: «Распечатать закрывающие документы по РТИУ №…»",обратиться к кассиру СТЦ,обратиться к оператору СТЦ,обратиться к логисту СТЦ,"не обращать внимание, это комментарий для менеджера",обратиться к оператору СТЦ
82,"Дополнительная информация, указанная в товарном чеке, как например: «ПАСПОРТ РФ», «ПАСПОРТ РФ ПРИ СЕБЕ»","является обязательной к выполнению, в случае вопросов, водитель обращается к логисту ЦУД","в рабочее время, паспорт у водителя всегда должен быть при себе","при отсутствии паспорта, либо наличия паспорта НЕ РФ, необходимо позвонить логисту ЦУД перед распечаткой складских документов",все варианты верны,все варианты верны
86,При курьерской доставке:,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы",клиент спускается к машине для осмотра товара и подписания документов,данный вид доставки компания не осуществляет,,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы"
93,"На складе, при проверке водителем ТМЦ по номенклатуре:","если ТМЦ собрано предварительно в пакеты, коробки, паллеты, водитель не проверяет соответствие номенклатуры по накладной","если сборка ТМЦ происходит по факту обращения водителя на склад и товар не находится в сборной упаковке (паллете, коробке, пакете), водитель обязан проверить соответствие каждой номенклатурной позиции по накладной",оба варианта верны,,оба варианта верны
--,--,--,--,--,--,--
