29,"Доставка с услугой ""Подъем"". По приезду на адрес водитель:",не дожидаясь грузчика начинает выгрузку ТМЦ с кузова,"не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается",звонит клиенту и вместе с клиентом ждёт грузчика,"звонит клиенту и вместе с клиентом начинают выгрузку ТМЦ, не дожидаясь грузчика","не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается"
31,"Если заказана услуга ""Подъем"" водитель отдаёт товарный чек:","клиенту для подписи, клиент подписывает товарный чек после подъёма","грузчику, клиент подписывает товарный чек после подъема","клиенту для подписи, клиент подписывает товарный чек до подъёма","товарный чек можно не подписывать, достаточно подписи в листе расчёта подъёма","грузчику, клиент подписывает товарный чек после подъема"
34,"Если заказ оплачен, и есть услуга подъем, действия водителя:","попросить клиента спустится к машине для проверки, после чего будет осуществлена услуга подъем","клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем.","подняться к клиенту, подписать документы, после чего будет осуществлена услуга подъем",,"клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем."
35,"В какое время необходимо прибыть на адрес при доставке ""в течение дня""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 30 минут до окончания интервала
36,В какое время необходимо прибыть на адрес при «стандартной» доставке (четырёхчасовой интервал)?,не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 15 минут до окончания интервала
37,"В какое время необходимо прибыть на адрес при доставке ""точно ко времени""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до времени доставки,,не позднее 5 минут до времени доставки
42,Что нужно уточнить у клиента при первом звонке?,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, интервал доставки, в какое время клиент будет на адресе, наличие на объекте печати/доверенности",достаточно узнать ждёт ли клиент доставку и уточнить адрес,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности"
43,"Нужно ли звонить перед погрузкой в случае, если в комментариях к заказу написано «не звонить перед погрузкой»?","да, нужно, вдруг у клиента что-нибудь изменилось?","нет, не нужно",на усмотрение водителя,"нужно, если в рейсе одна доставка","нет, не нужно"
44,"Действия водителя, если по прибытию на адрес не дозвониться до клиента по всем указанным номерам:","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, обратитесь к оператору СТЦ для координации дальнейших действий. ","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось ехать дальше по маршруту","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, подождать 30 минут, затем дальше ехать по маршруту",,"необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, обратитесь к оператору СТЦ для координации дальнейших действий. "
45,"Действия водителя, если покупатель во время телефонного разговора попросил о переносе времени доставки",передать эту информацию логисту СТЦ и далее следовать его инструкции,"поехать дальше по маршруту и вернутся к клиенту, в согласованный с ним период.","поехать дальше по маршруту, не выполняя данную доставку, вернуть товар на СТЦ",передать эту информацию логисту СТЦ и далее следовать его инструкции,передать эту информацию логисту СТЦ и далее следовать его инструкции
46,Порядок действий водителя при опоздании на адрес:,"позвонить клиенту, проинформировать об опоздании, согласовать новое время прибытия, позвонить логистам, предупредить об опоздании","достаточно позвонить логистам СТЦ, предупредить об опоздании","позвонить логисту, предупредить об опоздании, сообщить новое время прибытия, позвонить клиенту, проинформировать о новом времени прибытия",,"позвонить логисту, предупредить об опоздании, сообщить новое время прибытия, позвонить клиенту, проинформировать о новом времени прибытия"
47,Какую очерёдность выбора номера телефона должен соблюдать водитель при звонке клиенту? ,мастер на адресе - доп. телефон – заказчик,заказчик - мастер на адресе - доп. телефон,мастер на адресе - заказчик - доп. телефон,,мастер на адресе - доп. телефон – заказчик
