1,Какой скоростной режим необходимо соблюдать на территории СТЦ и прилегающих территориях?,не более 5 км/ч,не более 10 км/ч,не более 15 км/ч,скорость движения на территории СТЦ и прилегающих территориях не регламентирована ,не более 5 км/ч
2,Как необходимо закреплять груз в кузове а/м?,"так, чтобы исключить его утерю","так, чтобы исключить его повреждение и потерю товарного вида","так, чтобы исключить риск возникновения несчастного случая в следствии падения груза ",все варианты верны,все варианты верны
3,Какие спецсредства должны быть в наличии для обеспечения сохранности перевозимого груза?,тент,ремни крепления грузов,уголки для крепления грузов (для СТЦ ЦФО),все варианты верны,все варианты верны
6,Для соблюдения техники безопасности на складе водитель обязан:,закреплять груз при передвижении между складами,закрывать борта ТС при передвижении между складами,"использовать стояночный тормоз, ставить противооткатный упор",все варианты верны,все варианты верны
7,Может ли водитель выходить на линию на технически неисправном автомобиле? ,"да, выйти нужно обязательно, так как выход на линию запланирован ранее","нет, водитель предупреждает о невыходе логиста СТЦ и в кратчайшие сроки приводит своё транспортное средство в рабочее состояние"," нет, водитель может без предупреждения о невыходе ехать ремонтировать машину",," нет, водитель может без предупреждения о невыходе ехать ремонтировать машину"
12,В каком случае не требуется крепление ТМЦ в кузове:,если груз не превышает высоту борта или груз в заводской упаковке (за исключением паллет газобетона) без расположенного товара сверху,если в поле видимости отсутствуют люди и транспорт,в случае если необходимо переехать на соседний склад,все варианты верны,если груз не превышает высоту борта или груз в заводской упаковке (за исключением паллет газобетона) без расположенного товара сверху
15,"При оставлении на складе машины вне поля зрения, водитель обязан:",оставить ключи в замке зажигания,оставить записку со своим номером телефона,вытащить ключи из замка зажигания,поставить в известность начальника склада,вытащить ключи из замка зажигания
17,"Действия водителя при переезде между складами, в случае опоздания в интервал доставки или превышения нормативов времени погрузки:","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, незначительно превышать скоростной режим","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, без превышения скоростного режима","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; допускается незначительно превышать скоростной режим","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается"
18,"При погрузке ТМЦ, на каком расстоянии от маневрирующего погрузчика/штабелёра/автомобиля должен находиться водитель",не менее 1 метра,не менее 3 метров,не менее 5 метров,расстояние не регламентировано,не менее 5 метров
88,"Свыше какой суммы в товарном чеке с проектом «оплата на месте» водитель должен обратиться к сотруднику Службы Экономической Безопасности, если контрагент «Покупатель с сайта, покупатель (СТЦ)»:",более 250 000 (двести пятьдесят тысяч рублей) для покупателя держателя карты клуба друзей ,более 100 000 (сто тысяч рублей) для покупателя без карты клуба друзей ,оба варианта верны,,оба варианта верны
--,--,--,--,--,--,--
