4,При загрузке каких ТМЦ в заводских упаковках водитель должен произвести осмотр коробок на отсутствие повреждений?,двери,"унитазы, раковины",душевые кабины,все варианты верны,все варианты верны
5,Что обязан делать водитель при погрузке на складе?,присутствовать при погрузке,контролировать правильность размещения товара в машине,контролировать соответствие загружаемого товара накладной,все варианты верны,все варианты верны
9,Может ли водитель производить уборку кузова во время погрузки на складе,"да, если не мешает специалистам склада и другим ТС ","нет, уборка проводится до въезда на склад","да, после согласования с начальником склада",,"нет, уборка проводится до въезда на склад"
15,"При оставлении на складе машины вне поля зрения, водитель обязан:",оставить ключи в замке зажигания,оставить записку со своим номером телефона,вытащить ключи из замка зажигания,поставить в известность начальника склада,вытащить ключи из замка зажигания
17,"Действия водителя при переезде между складами, в случае опоздания в интервал доставки или превышения нормативов времени погрузки:","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, незначительно превышать скоростной режим","допускается: перемещаться с открытыми бортами, не крепить груз ремнями, без превышения скоростного режима","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; допускается незначительно превышать скоростной режим","в любом случае необходимо закреплять груз в транспортном средстве таким образом, чтобы исключить риск падения груза, исключить утерю груза, повреждение, потерю товарного вида; превышение скоростного режима не допускается"
18,"При погрузке ТМЦ, на каком расстоянии от маневрирующего погрузчика/штабелёра/автомобиля должен находиться водитель",не менее 1 метра,не менее 3 метров,не менее 5 метров,расстояние не регламентировано,не менее 5 метров
38,Каков норматив времени по загрузке на складе?,60 минут,40 минут,20 минут,время загрузки не регламентируется,40 минут
39,"Водитель приехал на СТЦ, встал в очередь, получил СМС о готовности рейса. Сколько у водителя времени от момента поступления СМС и до въезда на погрузку?",не более 20 минут,не более 30 минут,время никак не фиксируется,не более 40 минут,не более 30 минут
41,"При превышении времени погрузки на складе, водителю необходимо:","позвонить логисту ЦУД, сообщить о задержке","сообщить логисту СТЦ причины задержки, номер склада","сообщить начальнику смены причины задержки, номер склада","продолжить погрузку, не обращая внимание на время","сообщить начальнику смены причины задержки, номер склада"
59,За чей счёт осуществляется компенсация повторной доставки в случае недовоза водителем товара на объект?,за счёт специалистов склада,за счёт водителя,за счёт отдела логистики СТЦ,за счёт клиента,за счёт водителя
80,"В комментарии к заказу указано: «Арка 2,5 м», действия водителя:","идти на погрузку; на адресе, в случае невозможности проехать, позвонить логисту ЦУД","если ТС превышает габариты арки, необходимо подойти к логисту СТЦ; если нет, идти на погрузку","если ТС превышает габариты арки, необходимо позвонить логисту ЦУД; если нет, идти на погрузку",,"если ТС превышает габариты арки, необходимо позвонить логисту ЦУД; если нет, идти на погрузку"
84,"Действия водителя, в случае возникновения вопросов по качеству возвращаемого товара:","забрать товар от клиента в любом виде, предупредить, что возможен отказ склада в возврате","отправить информацию в чат телеграмм-канала по взаимодействию при возврате, действовать исходя из решения ответственных специалистов со стороны склада","предложить клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке",не забирать товар и уехать с адреса,"отправить информацию в чат телеграмм-канала по взаимодействию при возврате, действовать исходя из решения ответственных специалистов со стороны склада"
85,"85	Водитель привёз на возврат товар от клиента, специалист склада не принимает по причине брака, действия водителя:","позвонить клиенту, сообщить о браке",сообщить логисту СТЦ и совместно разобрать ситуацию,"оформить на возврат то, что принял склад, остальное утилизировать",,сообщить логисту СТЦ и совместно разобрать ситуацию
86,При курьерской доставке:,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы",клиент спускается к машине для осмотра товара и подписания документов,данный вид доставки компания не осуществляет,,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы"
91,"Водитель, процессе оказания услуги «Доставка», несёт ответственность:","за недостачу ТМЦ в рейсе, если водитель не заехал на склад","за пересортицу/недостачу, возникшую при разгрузке между адресами","за порчу товара при транспортировке (товар не закреплен, погрузка не совместимых товаров, отсутствие тента, не качественное укрытие ТМЦ от осадков и др.) ",все варианты верны,все варианты верны
92,"На складе, при проверке ТМЦ по качеству, водитель:","должен произвести внешний осмотр упаковки на отсутствие повреждений, если ТМЦ в заводских упаковках","проверяет внешнее состояние упаковки, если ТМЦ предварительно собрано в паллеты, коробки, пакеты","осуществляет контроль качества, способом внешнего осмотра ТМЦ, без его перекладки и переборки",все варианты верны,все варианты верны
93,"На складе, при проверке водителем ТМЦ по номенклатуре:","если ТМЦ собрано предварительно в пакеты, коробки, паллеты, водитель не проверяет соответствие номенклатуры по накладной","если сборка ТМЦ происходит по факту обращения водителя на склад и товар не находится в сборной упаковке (паллете, коробке, пакете), водитель обязан проверить соответствие каждой номенклатурной позиции по накладной",оба варианта верны,,оба варианта верны
--,--,--,--,--,--,--
