7,Может ли водитель выходить на линию на технически неисправном автомобиле? ,"да, выйти нужно обязательно, так как выход на линию запланирован ранее","нет, водитель предупреждает о невыходе логиста СТЦ и в кратчайшие сроки приводит своё транспортное средство в рабочее состояние"," нет, водитель может без предупреждения о невыходе ехать ремонтировать машину",," нет, водитель может без предупреждения о невыходе ехать ремонтировать машину"
8,Водитель может осуществлять ремонт ТС на территории СТЦ:,по согласованию с начальником склада,по согласованию с управляющим СТЦ,ремонт на территории СТЦ категорически запрещён,,ремонт на территории СТЦ категорически запрещён
9,Может ли водитель производить уборку кузова во время погрузки на складе,"да, если не мешает специалистам склада и другим ТС ","нет, уборка проводится до въезда на склад","да, после согласования с начальником склада",,"нет, уборка проводится до въезда на склад"
11,Где ношение сигнального жилета с логотипом ООО «СТД «Петрович» является обязательным?,только в отделе логистики СТЦ,"на всей территории СТЦ (включая внутренние помещения и парковку), а также на адресе клиента при осуществлении доставки","в отделе логистики СТЦ, а также на адресе клиента при осуществлении доставки","в отделе логистики СТЦ, а также на складе для соблюдения техники безопасности","на всей территории СТЦ (включая внутренние помещения и парковку), а также на адресе клиента при осуществлении доставки"
13,"Кто отвечает за сохранность, качество и количество перевозимого груза?",специалисты склада,специалисты отдела логистики СТЦ,водитель,все варианты верны,водитель
14,Может ли водитель оставлять ТС на территории СТЦ в свои выходные и отпуск?,нет,"да, по согласованию с логистом СТЦ","да, по согласованию с начальником склада",,нет
15,"При оставлении на складе машины вне поля зрения, водитель обязан:",оставить ключи в замке зажигания,оставить записку со своим номером телефона,вытащить ключи из замка зажигания,поставить в известность начальника склада,вытащить ключи из замка зажигания
16,ТС с какими повреждениями не допускаются на линию?,"коррозия капота, бортов, дверей, технические повреждения",неисправная светосигнализация,трещины на ветровых стёклах,все варианты верны,все варианты верны
18,"При погрузке ТМЦ, на каком расстоянии от маневрирующего погрузчика/штабелёра/автомобиля должен находиться водитель",не менее 1 метра,не менее 3 метров,не менее 5 метров,расстояние не регламентировано,не менее 5 метров
19,Выход на линию водителя начинается с 09:00. Водитель приехал и встал в очередь в 09:31. Сколько минут составило опоздание?,1 минуту,31 минуту,61 минуту,"опоздания нет, задержка до 1 минуты опозданием не считается",31 минуту
